time,open,high,low,close,tick_volume,spread,real_volume,volume
2023-03-28 21:30:00,1.36181,1.36185,1.36112,1.36116,307.00000,0,0.00000,
2023-03-28 21:45:00,1.36116,1.36116,1.36033,1.36034,495.00000,0,0.00000,
2023-03-28 22:00:00,1.36034,1.36047,1.36017,1.36026,408.00000,0,0.00000,
2023-03-28 22:15:00,1.36026,1.36050,1.36014,1.36021,359.00000,0,0.00000,
2023-03-28 22:30:00,1.36023,1.36036,1.35952,1.35953,448.00000,0,0.00000,
2023-03-28 22:45:00,1.35953,1.35995,1.35917,1.35987,497.00000,0,0.00000,
2023-03-28 23:00:00,1.35987,1.35990,1.35961,1.35979,422.00000,0,0.00000,
2023-03-28 23:15:00,1.35978,1.35993,1.35966,1.35989,154.00000,0,0.00000,
2023-03-28 23:30:00,1.35989,1.35993,1.35955,1.35966,115.00000,0,0.00000,
2023-03-28 23:45:00,1.35968,1.35987,1.35962,1.35972,235.00000,0,0.00000,
2023-03-29 00:00:00,1.35975,1.35975,1.35964,1.35975,12.00000,34,0.00000,
2023-03-29 00:15:00,1.35968,1.35989,1.35968,1.35988,27.00000,25,0.00000,
2023-03-29 00:30:00,1.35988,1.35994,1.35977,1.35978,34.00000,21,0.00000,
2023-03-29 00:45:00,1.35977,1.35988,1.35968,1.35973,34.00000,25,0.00000,
2023-03-29 01:00:00,1.35985,1.35985,1.35947,1.35960,233.00000,0,0.00000,
2023-03-29 01:15:00,1.35955,1.35971,1.35947,1.35958,225.00000,0,0.00000,
2023-03-29 01:30:00,1.35958,1.35980,1.35951,1.35977,96.00000,1,0.00000,
2023-03-29 01:45:00,1.35976,1.36006,1.35975,1.36003,243.00000,0,0.00000,
2023-03-29 02:00:00,1.36003,1.36017,1.35992,1.36000,245.00000,0,0.00000,
2023-03-29 02:15:00,1.36000,1.36005,1.35952,1.35979,235.00000,0,0.00000,
2023-03-29 02:30:00,1.35979,1.35982,1.35933,1.35937,451.00000,0,0.00000,
2023-03-29 02:45:00,1.35937,1.35963,1.35933,1.35944,412.00000,0,0.00000,
2023-03-29 03:00:00,1.35940,1.35957,1.35893,1.35899,475.00000,0,0.00000,
2023-03-29 03:15:00,1.35899,1.35936,1.35896,1.35919,407.00000,0,0.00000,
2023-03-29 03:30:00,1.35919,1.35985,1.35911,1.35942,773.00000,0,0.00000,
2023-03-29 03:45:00,1.35943,1.35953,1.35915,1.35917,493.00000,0,0.00000,
2023-03-29 04:00:00,1.35915,1.35956,1.35874,1.35945,495.00000,0,0.00000,
2023-03-29 04:15:00,1.35946,1.35949,1.35902,1.35913,519.00000,0,0.00000,
2023-03-29 04:30:00,1.35913,1.35992,1.35912,1.35988,411.00000,1,0.00000,
2023-03-29 04:45:00,1.35985,1.35988,1.35924,1.35933,386.00000,0,0.00000,
2023-03-29 05:00:00,1.35933,1.35984,1.35921,1.35981,298.00000,0,0.00000,
2023-03-29 05:15:00,1.35982,1.36005,1.35974,1.35991,170.00000,0,0.00000,
2023-03-29 05:30:00,1.35991,1.36014,1.35988,1.35998,431.00000,0,0.00000,
2023-03-29 05:45:00,1.35997,1.36012,1.35975,1.36011,381.00000,0,0.00000,
2023-03-29 06:00:00,1.36010,1.36028,1.35989,1.36027,273.00000,0,0.00000,
2023-03-29 06:15:00,1.36028,1.36051,1.36020,1.36038,211.00000,0,0.00000,
2023-03-29 06:30:00,1.36036,1.36056,1.36031,1.36050,247.00000,0,0.00000,
2023-03-29 06:45:00,1.36050,1.36051,1.36018,1.36033,243.00000,0,0.00000,
2023-03-29 07:00:00,1.36031,1.36053,1.36030,1.36040,171.00000,0,0.00000,
2023-03-29 07:15:00,1.36040,1.36042,1.36006,1.36013,256.00000,0,0.00000,
2023-03-29 07:30:00,1.36012,1.36013,1.35974,1.35997,310.00000,0,0.00000,
2023-03-29 07:45:00,1.35997,1.36015,1.35981,1.36009,245.00000,1,0.00000,
2023-03-29 08:00:00,1.36006,1.36055,1.35995,1.36045,230.00000,0,0.00000,
2023-03-29 08:15:00,1.36042,1.36083,1.36040,1.36083,212.00000,0,0.00000,
2023-03-29 08:30:00,1.36083,1.36092,1.36055,1.36074,300.00000,0,0.00000,
2023-03-29 08:45:00,1.36076,1.36099,1.36065,1.36098,371.00000,0,0.00000,
2023-03-29 09:00:00,1.36100,1.36154,1.36098,1.36134,695.00000,0,0.00000,
2023-03-29 09:15:00,1.36134,1.36168,1.36124,1.36126,615.00000,0,0.00000,
2023-03-29 09:30:00,1.36126,1.36155,1.36096,1.36096,575.00000,0,0.00000,
2023-03-29 09:45:00,1.36096,1.36119,1.36076,1.36102,531.00000,0,0.00000,
2023-03-29 10:00:00,1.36102,1.36153,1.36044,1.36123,789.00000,0,0.00000,
2023-03-29 10:15:00,1.36123,1.36154,1.36085,1.36102,587.00000,0,0.00000,
2023-03-29 10:30:00,1.36096,1.36129,1.36086,1.36108,533.00000,0,0.00000,
2023-03-29 10:45:00,1.36108,1.36113,1.36074,1.36101,591.00000,0,0.00000,
2023-03-29 11:00:00,1.36101,1.36149,1.36089,1.36106,500.00000,0,0.00000,
2023-03-29 11:15:00,1.36107,1.36114,1.36032,1.36042,703.00000,0,0.00000,
2023-03-29 11:30:00,1.36040,1.36101,1.36021,1.36091,644.00000,0,0.00000,
2023-03-29 11:45:00,1.36090,1.36121,1.36057,1.36065,525.00000,0,0.00000,
2023-03-29 12:00:00,1.36065,1.36074,1.36037,1.36055,477.00000,0,0.00000,
2023-03-29 12:15:00,1.36053,1.36065,1.35941,1.35944,561.00000,0,0.00000,
2023-03-29 12:30:00,1.35944,1.35946,1.35877,1.35916,602.00000,0,0.00000,
2023-03-29 12:45:00,1.35916,1.35953,1.35850,1.35867,573.00000,0,0.00000,
2023-03-29 13:00:00,1.35868,1.35948,1.35859,1.35860,709.00000,0,0.00000,
2023-03-29 13:15:00,1.35860,1.35945,1.35853,1.35935,486.00000,0,0.00000,
2023-03-29 13:30:00,1.35935,1.35993,1.35919,1.35971,402.00000,0,0.00000,
2023-03-29 13:45:00,1.35971,1.35997,1.35945,1.35955,417.00000,0,0.00000,
2023-03-29 14:00:00,1.35955,1.35968,1.35903,1.35936,600.00000,0,0.00000,
2023-03-29 14:15:00,1.35936,1.35938,1.35771,1.35809,592.00000,0,0.00000,
2023-03-29 14:30:00,1.35809,1.35811,1.35724,1.35725,566.00000,0,0.00000,
2023-03-29 14:45:00,1.35727,1.35817,1.35716,1.35814,662.00000,0,0.00000,
2023-03-29 15:00:00,1.35812,1.35878,1.35787,1.35876,420.00000,0,0.00000,
2023-03-29 15:15:00,1.35870,1.35947,1.35856,1.35875,604.00000,0,0.00000,
2023-03-29 15:30:00,1.35875,1.35953,1.35834,1.35920,730.00000,0,0.00000,
2023-03-29 15:45:00,1.35920,1.35934,1.35821,1.35872,755.00000,0,0.00000,
2023-03-29 16:00:00,1.35872,1.35947,1.35863,1.35943,972.00000,0,0.00000,
2023-03-29 16:15:00,1.35943,1.36049,1.35942,1.35988,718.00000,0,0.00000,
2023-03-29 16:30:00,1.35987,1.36015,1.35853,1.35870,928.00000,0,0.00000,
2023-03-29 16:45:00,1.35861,1.35913,1.35737,1.35741,975.00000,0,0.00000,
2023-03-29 17:00:00,1.35740,1.35763,1.35621,1.35720,1241.00000,0,0.00000,
2023-03-29 17:15:00,1.35720,1.35768,1.35596,1.35759,1174.00000,0,0.00000,
2023-03-29 17:30:00,1.35758,1.35781,1.35713,1.35738,1211.00000,0,0.00000,
2023-03-29 17:45:00,1.35744,1.35872,1.35708,1.35852,1255.00000,0,0.00000,
2023-03-29 18:00:00,1.35853,1.35862,1.35797,1.35825,1023.00000,0,0.00000,
2023-03-29 18:15:00,1.35824,1.35846,1.35754,1.35757,760.00000,0,0.00000,
2023-03-29 18:30:00,1.35756,1.35756,1.35689,1.35730,577.00000,0,0.00000,
2023-03-29 18:45:00,1.35730,1.35768,1.35684,1.35757,647.00000,0,0.00000,
2023-03-29 19:00:00,1.35755,1.35765,1.35732,1.35734,502.00000,0,0.00000,
2023-03-29 19:15:00,1.35735,1.35794,1.35731,1.35792,506.00000,0,0.00000,
2023-03-29 19:30:00,1.35792,1.35796,1.35743,1.35753,572.00000,0,0.00000,
2023-03-29 19:45:00,1.35754,1.35762,1.35709,1.35742,614.00000,0,0.00000,
2023-03-29 20:00:00,1.35742,1.35776,1.35692,1.35714,486.00000,0,0.00000,
2023-03-29 20:15:00,1.35713,1.35717,1.35637,1.35654,432.00000,0,0.00000,
2023-03-29 20:30:00,1.35654,1.35669,1.35596,1.35631,754.00000,0,0.00000,
2023-03-29 20:45:00,1.35631,1.35672,1.35631,1.35662,494.00000,0,0.00000,
2023-03-29 21:00:00,1.35662,1.35728,1.35654,1.35693,395.00000,0,0.00000,
2023-03-29 21:15:00,1.35692,1.35746,1.35673,1.35688,519.00000,0,0.00000,
2023-03-29 21:30:00,1.35687,1.35715,1.35681,1.35702,483.00000,0,0.00000,
2023-03-29 21:45:00,1.35702,1.35707,1.35658,1.35675,380.00000,0,0.00000,
2023-03-29 22:00:00,1.35675,1.35727,1.35663,1.35664,581.00000,0,0.00000,
2023-03-29 22:15:00,1.35664,1.35676,1.35649,1.35654,460.00000,0,0.00000,
2023-03-29 22:30:00,1.35657,1.35696,1.35657,1.35665,505.00000,0,0.00000,
2023-03-29 22:45:00,1.35667,1.35687,1.35642,1.35663,494.00000,0,0.00000,
2023-03-29 23:00:00,1.35665,1.35679,1.35639,1.35645,254.00000,0,0.00000,
2023-03-29 23:15:00,1.35645,1.35645,1.35617,1.35624,173.00000,0,0.00000,
2023-03-29 23:30:00,1.35624,1.35625,1.35589,1.35598,187.00000,0,0.00000,
2023-03-29 23:45:00,1.35599,1.35599,1.35561,1.35578,313.00000,0,0.00000,
2023-03-30 00:00:00,1.35581,1.35610,1.35575,1.35581,29.00000,10,0.00000,
2023-03-30 00:15:00,1.35588,1.35592,1.35566,1.35580,25.00000,9,0.00000,
2023-03-30 00:30:00,1.35569,1.35581,1.35562,1.35580,16.00000,16,0.00000,
2023-03-30 00:45:00,1.35580,1.35612,1.35580,1.35591,51.00000,30,0.00000,
2023-03-30 01:00:00,1.35618,1.35618,1.35575,1.35578,113.00000,0,0.00000,
2023-03-30 01:15:00,1.35578,1.35582,1.35576,1.35577,76.00000,0,0.00000,
2023-03-30 01:30:00,1.35577,1.35597,1.35577,1.35587,83.00000,1,0.00000,
2023-03-30 01:45:00,1.35587,1.35603,1.35563,1.35567,156.00000,1,0.00000,
2023-03-30 02:00:00,1.35567,1.35606,1.35563,1.35597,180.00000,0,0.00000,
2023-03-30 02:15:00,1.35597,1.35606,1.35583,1.35605,174.00000,0,0.00000,
2023-03-30 02:30:00,1.35606,1.35614,1.35598,1.35606,208.00000,0,0.00000,
2023-03-30 02:45:00,1.35606,1.35673,1.35604,1.35669,311.00000,0,0.00000,
2023-03-30 03:00:00,1.35669,1.35684,1.35633,1.35671,532.00000,0,0.00000,
2023-03-30 03:15:00,1.35670,1.35676,1.35645,1.35674,438.00000,0,0.00000,
2023-03-30 03:30:00,1.35674,1.35704,1.35660,1.35685,409.00000,0,0.00000,
2023-03-30 03:45:00,1.35686,1.35717,1.35666,1.35694,404.00000,0,0.00000,
2023-03-30 04:00:00,1.35694,1.35765,1.35688,1.35730,632.00000,1,0.00000,
2023-03-30 04:15:00,1.35730,1.35777,1.35730,1.35761,382.00000,1,0.00000,
2023-03-30 04:30:00,1.35761,1.35812,1.35736,1.35787,442.00000,0,0.00000,
2023-03-30 04:45:00,1.35787,1.35795,1.35732,1.35767,363.00000,0,0.00000,
2023-03-30 05:00:00,1.35768,1.35780,1.35729,1.35776,374.00000,0,0.00000,
2023-03-30 05:15:00,1.35776,1.35776,1.35711,1.35717,299.00000,0,0.00000,
2023-03-30 05:30:00,1.35718,1.35756,1.35684,1.35748,356.00000,0,0.00000,
2023-03-30 05:45:00,1.35749,1.35811,1.35749,1.35796,637.00000,0,0.00000,
2023-03-30 06:00:00,1.35797,1.35807,1.35765,1.35766,541.00000,0,0.00000,
2023-03-30 06:15:00,1.35766,1.35769,1.35712,1.35730,297.00000,0,0.00000,
2023-03-30 06:30:00,1.35731,1.35742,1.35721,1.35730,323.00000,0,0.00000,
2023-03-30 06:45:00,1.35730,1.35751,1.35729,1.35746,155.00000,0,0.00000,
2023-03-30 07:00:00,1.35746,1.35751,1.35733,1.35742,104.00000,0,0.00000,
2023-03-30 07:15:00,1.35740,1.35740,1.35712,1.35724,162.00000,0,0.00000,
2023-03-30 07:30:00,1.35724,1.35725,1.35685,1.35685,185.00000,0,0.00000,
2023-03-30 07:45:00,1.35685,1.35698,1.35668,1.35674,254.00000,0,0.00000,
2023-03-30 08:00:00,1.35675,1.35686,1.35650,1.35670,311.00000,0,0.00000,
2023-03-30 08:15:00,1.35669,1.35672,1.35611,1.35633,423.00000,0,0.00000,
2023-03-30 08:30:00,1.35632,1.35632,1.35558,1.35584,716.00000,0,0.00000,
2023-03-30 08:45:00,1.35584,1.35584,1.35465,1.35503,649.00000,0,0.00000,
2023-03-30 09:00:00,1.35503,1.35511,1.35454,1.35478,1027.00000,0,0.00000,
2023-03-30 09:15:00,1.35479,1.35550,1.35468,1.35498,627.00000,0,0.00000,
2023-03-30 09:30:00,1.35497,1.35541,1.35476,1.35486,696.00000,0,0.00000,
2023-03-30 09:45:00,1.35486,1.35494,1.35430,1.35462,617.00000,0,0.00000,
2023-03-30 10:00:00,1.35463,1.35537,1.35413,1.35438,1355.00000,0,0.00000,
2023-03-30 10:15:00,1.35439,1.35468,1.35410,1.35431,860.00000,0,0.00000,
2023-03-30 10:30:00,1.35431,1.35438,1.35381,1.35384,704.00000,0,0.00000,
2023-03-30 10:45:00,1.35383,1.35444,1.35375,1.35375,470.00000,0,0.00000,
2023-03-30 11:00:00,1.35373,1.35425,1.35359,1.35383,622.00000,0,0.00000,
2023-03-30 11:15:00,1.35383,1.35455,1.35382,1.35439,516.00000,0,0.00000,
2023-03-30 11:30:00,1.35439,1.35441,1.35354,1.35354,747.00000,0,0.00000,
2023-03-30 11:45:00,1.35354,1.35387,1.35332,1.35355,773.00000,0,0.00000,
2023-03-30 12:00:00,1.35355,1.35370,1.35304,1.35311,721.00000,0,0.00000,
2023-03-30 12:15:00,1.35310,1.35345,1.35306,1.35319,536.00000,0,0.00000,
2023-03-30 12:30:00,1.35319,1.35420,1.35319,1.35408,317.00000,0,0.00000,
2023-03-30 12:45:00,1.35408,1.35502,1.35399,1.35470,368.00000,0,0.00000,
2023-03-30 13:00:00,1.35470,1.35512,1.35453,1.35464,488.00000,0,0.00000,
2023-03-30 13:15:00,1.35467,1.35527,1.35428,1.35524,394.00000,0,0.00000,
2023-03-30 13:30:00,1.35524,1.35535,1.35455,1.35456,563.00000,0,0.00000,
2023-03-30 13:45:00,1.35457,1.35521,1.35445,1.35518,475.00000,0,0.00000,
2023-03-30 14:00:00,1.35516,1.35555,1.35501,1.35537,486.00000,0,0.00000,
2023-03-30 14:15:00,1.35538,1.35565,1.35516,1.35554,533.00000,0,0.00000,
2023-03-30 14:30:00,1.35555,1.35566,1.35451,1.35451,508.00000,0,0.00000,
2023-03-30 14:45:00,1.35450,1.35468,1.35355,1.35371,486.00000,0,0.00000,
