time,open,high,low,close,volume,spread,tick_volume,real_volume
2023-12-04 14:15:00,2069.24000,2071.28000,2068.77000,2069.24000,902.00000,4,,
2023-12-04 14:30:00,2069.36000,2069.37000,2065.66000,2068.33000,908.00000,4,,
2023-12-04 14:45:00,2068.27000,2070.14000,2067.97000,2069.82000,835.00000,4,,
2023-12-04 15:00:00,2069.85000,2070.14000,2067.20000,2067.48000,1564.00000,4,,
2023-12-04 15:15:00,2067.50000,2070.49000,2063.62000,2064.90000,1963.00000,4,,
2023-12-04 15:30:00,2064.86000,2065.02000,2059.88000,2061.79000,1960.00000,4,,
2023-12-04 15:45:00,2061.63000,2061.70000,2055.96000,2057.68000,1919.00000,4,,
2023-12-04 16:00:00,2057.86000,2057.98000,2047.75000,2049.44000,2359.00000,5,,
2023-12-04 16:15:00,2049.43000,2050.70000,2042.52000,2045.44000,2538.00000,10,,
2023-12-04 16:30:00,2045.27000,2048.50000,2043.38000,2044.32000,2712.00000,5,,
2023-12-04 16:45:00,2044.36000,2050.65000,2043.99000,2050.12000,2377.00000,4,,
2023-12-04 17:00:00,2050.21000,2053.28000,2048.74000,2049.63000,2517.00000,4,,
2023-12-04 17:15:00,2049.44000,2052.16000,2025.90000,2033.30000,2854.00000,7,,
2023-12-04 17:30:00,2033.32000,2033.94000,2020.15000,2027.52000,2904.00000,10,,
2023-12-04 17:45:00,2027.45000,2029.02000,2021.62000,2022.59000,2367.00000,10,,
2023-12-04 18:00:00,2022.53000,2027.22000,2020.84000,2026.50000,2259.00000,10,,
2023-12-04 18:15:00,2026.44000,2028.12000,2023.40000,2024.56000,1973.00000,10,,
2023-12-04 18:30:00,2024.48000,2026.31000,2021.20000,2021.64000,2065.00000,7,,
2023-12-04 18:45:00,2021.51000,2026.38000,2021.18000,2025.98000,1825.00000,8,,
2023-12-04 19:00:00,2026.00000,2030.06000,2025.91000,2030.06000,1563.00000,9,,
2023-12-04 19:15:00,2029.81000,2030.78000,2024.30000,2024.90000,1725.00000,9,,
2023-12-04 19:30:00,2024.80000,2025.74000,2023.68000,2025.74000,1418.00000,6,,
2023-12-04 19:45:00,2025.68000,2026.17000,2024.70000,2025.96000,1261.00000,4,,
2023-12-04 20:00:00,2026.04000,2026.05000,2022.70000,2024.19000,1417.00000,4,,
2023-12-04 20:15:00,2024.12000,2025.38000,2022.27000,2024.11000,1589.00000,4,,
2023-12-04 20:30:00,2023.96000,2025.00000,2022.17000,2023.40000,1043.00000,4,,
2023-12-04 20:45:00,2023.30000,2024.81000,2023.10000,2024.41000,795.00000,4,,
2023-12-04 21:00:00,2024.44000,2025.84000,2024.44000,2025.10000,789.00000,4,,
2023-12-04 21:15:00,2025.12000,2027.11000,2023.88000,2026.36000,639.00000,4,,
2023-12-04 21:30:00,2026.36000,2030.12000,2026.18000,2030.04000,897.00000,5,,
2023-12-04 21:45:00,2030.08000,2031.52000,2029.20000,2030.94000,957.00000,6,,
2023-12-04 22:00:00,2030.94000,2032.32000,2030.62000,2031.38000,853.00000,4,,
2023-12-04 22:15:00,2031.38000,2031.74000,2028.58000,2028.62000,650.00000,10,,
2023-12-04 22:30:00,2028.58000,2029.07000,2027.76000,2027.96000,691.00000,5,,
2023-12-04 22:45:00,2028.00000,2029.04000,2026.30000,2026.37000,1027.00000,4,,
2023-12-04 23:00:00,2026.84000,2029.62000,2026.84000,2028.82000,574.00000,5,,
2023-12-04 23:15:00,2028.82000,2029.92000,2028.82000,2029.86000,367.00000,5,,
2023-12-04 23:30:00,2029.80000,2030.18000,2029.18000,2029.52000,253.00000,5,,
2023-12-04 23:45:00,2029.52000,2030.26000,2028.66000,2028.89000,289.00000,5,,
2023-12-05 01:00:00,2029.44000,2030.47000,2028.97000,2029.06000,323.00000,4,,
2023-12-05 01:15:00,2029.20000,2031.03000,2029.06000,2030.93000,356.00000,4,,
2023-12-05 01:30:00,2030.91000,2030.91000,2028.54000,2029.70000,344.00000,5,,
2023-12-05 01:45:00,2029.69000,2034.16000,2029.46000,2034.06000,711.00000,4,,
2023-12-05 02:00:00,2034.01000,2035.11000,2032.73000,2033.87000,953.00000,8,,
2023-12-05 02:15:00,2033.85000,2038.21000,2033.79000,2037.60000,742.00000,4,,
2023-12-05 02:30:00,2037.63000,2041.24000,2037.63000,2039.06000,1051.00000,7,,
2023-12-05 02:45:00,2039.04000,2039.26000,2036.61000,2036.80000,827.00000,4,,
2023-12-05 03:00:00,2036.78000,2038.22000,2035.41000,2037.35000,1423.00000,4,,
2023-12-05 03:15:00,2037.40000,2038.43000,2035.84000,2038.04000,1152.00000,4,,
2023-12-05 03:30:00,2037.97000,2037.97000,2034.16000,2034.91000,1169.00000,4,,
2023-12-05 03:45:00,2034.92000,2036.91000,2034.92000,2035.64000,1217.00000,4,,
2023-12-05 04:00:00,2035.64000,2036.33000,2033.68000,2033.96000,787.00000,4,,
2023-12-05 04:15:00,2033.92000,2035.06000,2033.67000,2034.28000,570.00000,4,,
2023-12-05 04:30:00,2034.32000,2035.48000,2033.58000,2035.38000,684.00000,4,,
2023-12-05 04:45:00,2035.39000,2036.56000,2034.66000,2034.78000,695.00000,4,,
2023-12-05 05:00:00,2034.78000,2035.92000,2034.63000,2035.89000,409.00000,4,,
2023-12-05 05:15:00,2035.90000,2037.72000,2035.45000,2037.59000,610.00000,4,,
2023-12-05 05:30:00,2037.61000,2037.83000,2035.47000,2036.04000,972.00000,5,,
2023-12-05 05:45:00,2036.04000,2037.50000,2035.68000,2037.39000,572.00000,4,,
2023-12-05 06:00:00,2037.40000,2038.39000,2037.09000,2037.43000,531.00000,4,,
2023-12-05 06:15:00,2037.36000,2037.60000,2035.90000,2037.03000,408.00000,4,,
2023-12-05 06:30:00,2037.02000,2037.04000,2035.17000,2035.45000,452.00000,4,,
2023-12-05 06:45:00,2035.43000,2035.46000,2030.48000,2032.32000,740.00000,4,,
2023-12-05 07:00:00,2032.47000,2033.94000,2031.82000,2031.96000,805.00000,4,,
2023-12-05 07:15:00,2031.94000,2033.44000,2031.51000,2033.19000,536.00000,4,,
2023-12-05 07:30:00,2033.32000,2033.60000,2031.56000,2032.37000,886.00000,4,,
2023-12-05 07:45:00,2032.34000,2033.59000,2031.02000,2032.18000,864.00000,4,,
2023-12-05 08:00:00,2032.23000,2033.78000,2031.76000,2033.68000,591.00000,8,,
2023-12-05 08:15:00,2033.77000,2034.56000,2033.20000,2033.34000,680.00000,7,,
2023-12-05 08:30:00,2033.29000,2033.51000,2031.98000,2032.63000,713.00000,8,,
2023-12-05 08:45:00,2032.64000,2034.52000,2032.64000,2033.48000,876.00000,8,,
2023-12-05 09:00:00,2033.54000,2034.96000,2032.62000,2034.60000,1058.00000,8,,
2023-12-05 09:15:00,2034.66000,2034.92000,2033.00000,2033.23000,1121.00000,9,,
2023-12-05 09:30:00,2033.22000,2034.74000,2031.21000,2034.52000,1255.00000,11,,
2023-12-05 09:45:00,2034.49000,2034.61000,2032.66000,2032.70000,920.00000,6,,
2023-12-05 10:00:00,2032.68000,2036.50000,2032.65000,2036.01000,1600.00000,5,,
2023-12-05 10:15:00,2036.10000,2039.57000,2035.88000,2037.25000,1567.00000,5,,
2023-12-05 10:30:00,2037.12000,2037.98000,2035.01000,2035.19000,1351.00000,5,,
